title,genre,director1,director2,actor1,actor2,actor3,actor4,box_office,imdb_rating,imdb_votes,yr
Donnie Brasco,Biography- Crime- Drama,MikeNewell,.,AlPacino,JohnnyDepp,MichaelMadsen,BrunoKirby,41909762,7.7,257344,1997
As Good as It Gets,Comedy- Drama- Romance,JamesL.Brooks,.,JackNicholson,HelenHunt,GregKinnear,CubaGoodingJr.,148478011,7.7,257109,1997
Starship Troopers,Action- Adventure- Sci-Fi,PaulVerhoeven,.,CasperVanDien,DeniseRichards,DinaMeyer,JakeBusey,54814377,7.2,252999,1997
Contact,Drama- Mystery- Sci-Fi,RobertZemeckis,.,JodieFoster,MatthewMcConaughey,TomSkerritt,JohnHurt,100920329,7.4,237986,1997
Boogie Nights,Drama,PaulThomasAnderson,.,MarkWahlberg,JulianneMoore,BurtReynolds,LuisGuzmán,26400640,7.9,221871,1997
Batman & Robin,Action- Sci-Fi,JoelSchumacher,.,ArnoldSchwarzenegger,GeorgeClooney,ChrisO'Donnell,UmaThurman,107325195,3.7,220392,1997
Alien: Resurrection,Action- Horror- Sci-Fi,Jean-PierreJeunet,.,SigourneyWeaver,WinonaRyder,DominiquePinon,RonPerlman,47748610,6.2,213468,1997
Austin Powers: International Man of Mystery,Adventure- Comedy,JayRoach,.,MikeMyers,ElizabethHurley,MichaelYork,MimiRogers,53883989,7,209253,1997
Cube,Drama- Mystery- Sci-Fi,VincenzoNatali,.,NicoledeBoer,MauriceDeanWint,DavidHewlett,AndrewMiller,501818,7.2,194672,1997
Hercules,Animation- Adventure- Comedy,RonClements,JohnMusker,TateDonovan,SusanEgan,JamesWoods,JoshKeaton,99046791,7.3,185902,1997
Tomorrow Never Dies,Action- Adventure- Thriller,RogerSpottiswoode,.,PierceBrosnan,JonathanPryce,MichelleYeoh,TeriHatcher,125332007,6.5,170161,1997
Air Force One,Action- Drama- Thriller,WolfgangPetersen,.,HarrisonFord,GaryOldman,GlennClose,WendyCrewson,172956409,6.5,168888,1997
Scream 2,Horror- Mystery,WesCraven,.,NeveCampbell,CourteneyCox,DavidArquette,JadaPinkettSmith,101363301,6.1,145841,1997
Event Horizon,Horror- Sci-Fi- Thriller,PaulW.S.Anderson,.,LaurenceFishburne,SamNeill,KathleenQuinlan,JoelyRichardson,26673242,6.7,144954,1997
Chasing Amy,Comedy- Drama- Romance,KevinSmith,.,BenAffleck,JoeyLaurenAdams,EthanSuplee,ScottMosier,12006514,7.2,126264,1997
I Know What You Did Last Summer,Horror- Mystery,JimGillespie,.,JenniferLoveHewitt,SarahMichelleGellar,AnneHeche,RyanPhillippe,72586134,5.7,124865,1997
Lost Highway,Mystery- Thriller,DavidLynch,.,BillPullman,PatriciaArquette,JohnRoselius,LouisEppolito,3796699,7.6,119984,1997
My Best Friend's Wedding,Comedy- Drama- Romance,P.J.Hogan,.,JuliaRoberts,DermotMulroney,CameronDiaz,RupertEverett,127120029,6.3,119013,1997
Seven Years in Tibet,Adventure- Biography- Drama,Jean-JacquesAnnaud,.,BradPitt,DavidThewlis,BDWong,Mako,37957682,7.1,114381,1997
Anastasia,Animation- Adventure- Drama,DonBluth,GaryGoldman,MegRyan,JohnCusack,ChristopherLloyd,KelseyGrammer,58406347,7.1,103942,1997
The Jackal,Action- Crime- Drama,MichaelCaton-Jones,.,BruceWillis,RichardGere,SidneyPoitier,DianeVenora,54930280,6.4,100437,1997
Home Alone 3,Comedy- Crime- Family,RajaGosnell,.,AlexD.Linz,OlekKrupa,RyaKihlstedt,LennyvonDohlen,30882515,4.4,96017,1997
The Full Monty,Comedy- Drama,PeterCattaneo,.,RobertCarlyle,TomWilkinson,MarkAddy,WimSnape,45950122,7.2,93516,1997
Bean,Adventure- Comedy- Family,MelSmith,.,RowanAtkinson,PeterMacNicol,JohnMills,PamelaReed,45319423,6.5,90568,1997
Conspiracy Theory,Action- Mystery- Thriller,RichardDonner,.,MelGibson,JuliaRoberts,PatrickStewart,CylkCozart,75982834,6.7,88289,1997
Anaconda,Action- Adventure- Horror,LuisLlosa,.,JonVoight,JenniferLopez,EricStoltz,IceCube,65885767,4.8,88273,1997
Grosse Pointe Blank,Action- Comedy- Crime,GeorgeArmitage,.,JohnCusack,MinnieDriver,DanAykroyd,JoanCusack,28014536,7.3,83104,1997
Cop Land,Crime- Drama- Thriller,JamesMangold,.,SylvesterStallone,HarveyKeitel,RayLiotta,RobertDeNiro,44886089,6.9,80207,1997
Flubber,Comedy- Family- Sci-Fi,LesMayfield,.,RobinWilliams,MarciaGayHarden,ChristopherMcDonald,TedLevine,92977226,5.3,78855,1997
Wag the Dog,Comedy- Drama,BarryLevinson,.,DustinHoffman,RobertDeNiro,AnneHeche,WoodyHarrelson,43022524,7.2,75015,1997
Dante's Peak,Action- Adventure- Thriller,RogerDonaldson,.,PierceBrosnan,LindaHamilton,JamieRenéeSmith,JeremyFoley,67127760,5.9,74655,1997
Speed 2: Cruise Control,Action- Adventure- Crime,JandeBont,.,SandraBullock,JasonPatric,WillemDafoe,TemueraMorrison,48608066,3.9,70373,1997
G.I. Jane,Action- Drama- War,RidleyScott,.,DemiMoore,ViggoMortensen,AnneBancroft,JasonBeghe,48169156,5.9,69443,1997
Volcano,Action- Drama- Sci-Fi,MickJackson,.,TommyLeeJones,AnneHeche,GabyHoffmann,DonCheadle,49323468,5.5,68108,1997
Amistad,Drama- History,StevenSpielberg,.,DjimonHounsou,MatthewMcConaughey,AnthonyHopkins,MorganFreeman,44175394,7.3,66648,1997
George of the Jungle,Action- Adventure- Comedy,SamWeisman,.,BrendanFraser,LeslieMann,ThomasHadenChurch,RichardRoundtree,105263257,5.4,66142,1997
The Postman,Action- Adventure- Drama,KevinCostner,.,KevinCostner,WillPatton,LarenzTate,OliviaWilliams,17626234,6.1,64978,1997
The Edge,Action- Adventure- Drama,LeeTamahori,.,AnthonyHopkins,AlecBaldwin,ElleMacpherson,HaroldPerrineau,27779888,6.9,64032,1997
Spawn,Action- Drama- Horror,MarkA.Z.Dippé,.,MichaelJaiWhite,JohnLeguizamo,MartinSheen,TheresaRandle,54967359,5.3,60679,1997
Open Your Eyes,Drama- Mystery- Thriller,AlejandroAmenábar,.,EduardoNoriega,PenélopeCruz,CheteLera,FeleMartínez,368234,7.8,60037,1997
Kiss the Girls,Crime- Drama- Mystery,GaryFleder,.,MorganFreeman,AshleyJudd,CaryElwes,AlexMcArthur,60527873,6.6,59646,1997
The Saint,Action- Adventure- Romance,PhillipNoyce,.,ValKilmer,ElisabethShue,RadeSerbedzija,ValeriyNikolaev,61355436,6.2,58645,1997
Funny Games,Crime- Drama- Thriller,MichaelHaneke,.,SusanneLothar,UlrichMühe,ArnoFrisch,FrankGiering,.,7.6,57505,1997
The Rainmaker,Crime- Drama- Thriller,FrancisFordCoppola,.,MattDamon,DannyDeVito,ClaireDanes,JonVoight,45856732,7.2,56361,1997
Children of Heaven,Drama- Family,MajidMajidi,.,MohammadAmirNaji,AmirFarrokhHashemian,BahareSeddiqi,NafiseJafar-Mohammadi,933933,8.3,55034,1997
The Devil's Own,Action- Crime- Drama,AlanJ.Pakula,.,HarrisonFord,BradPitt,MargaretColin,RubénBlades,42868348,6.2,54291,1997
The Peacemaker,Action- Thriller,MimiLeder,.,GeorgeClooney,NicoleKidman,MarcelIures,AleksandrBaluev,41263140,5.9,51496,1997
The Ice Storm,Drama,AngLee,.,KevinKline,JoanAllen,SigourneyWeaver,HenryCzerny,7837632,7.4,51229,1997
Mousehunt,Comedy,GoreVerbinski,.,NathanLane,LeeEvans,VickiLewis,MauryChaykin,61917389,6.4,48062,1997
Lolita,Drama- Romance,AdrianLyne,.,JeremyIrons,DominiqueSwain,MelanieGriffith,FrankLangella,1400000,6.9,47558,1997
U Turn,Crime- Drama- Thriller,OliverStone,.,SeanPenn,JenniferLopez,NickNolte,BillyBobThornton,6633400,6.8,46824,1997
Absolute Power,Action- Crime- Drama,ClintEastwood,.,ClintEastwood,GeneHackman,EdHarris,LauraLinney,50007168,6.7,46814,1997
Perfect Blue,Animation- Horror- Mystery,SatoshiKon,.,JunkoIwao,RicaMatsumoto,ShinpachiTsuji,MasaakiÔkura,776665,8,45406,1997
Breakdown,Crime- Drama- Mystery,JonathanMostow,.,KurtRussell,J.T.Walsh,KathleenQuinlan,M.C.Gainey,50129186,6.9,44889,1997
Mortal Kombat: Annihilation,Action- Adventure- Fantasy,JohnR.Leonetti,.,RobinShou,TalisaSoto,JamesRemar,SandraHess,35927406,3.7,43280,1997
Mimic,Horror- Sci-Fi,GuillermodelToro,.,MiraSorvino,JeremyNortham,AlexanderGoodwin,GiancarloGiannini,25480490,5.9,43206,1997
Nothing to Lose,Action- Adventure- Comedy,SteveOedekerk,.,MartinLawrence,TimRobbins,JohnC.McGinley,GiancarloEsposito,44455658,6.7,41652,1997
Vegas Vacation,Comedy,StephenKessler,.,ChevyChase,BeverlyD'Angelo,RandyQuaid,EthanEmbry,36429528,6,40851,1997
Deconstructing Harry,Comedy,WoodyAllen,.,WoodyAllen,JudyDavis,JuliaLouis-Dreyfus,StephanieRothHaberle,10686841,7.4,40099,1997
Romy and Michele's High School Reunion,Comedy,DavidMirkin,.,MiraSorvino,LisaKudrow,JaneaneGarofalo,AlanCumming,29205077,6.2,39378,1997
In & Out,Comedy- Romance,FrankOz,.,KevinKline,JoanCusack,TomSelleck,MattDillon,63856929,6.4,36520,1997
Beverly Hills Ninja,Action- Comedy,DennisDugan,.,ChrisFarley,NicolletteSheridan,RobinShou,NathanielParker,31235710,5.5,36033,1997
Midnight in the Garden of Good and Evil,Crime- Drama- Mystery,ClintEastwood,.,JohnCusack,KevinSpacey,JackThompson,IrmaP.Hall,25078937,6.6,35198,1997
A Life Less Ordinary,Comedy- Crime- Fantasy,DannyBoyle,.,CameronDiaz,EwanMcGregor,HollyHunter,DelroyLindo,4266243,6.4,33092,1997
Orgazmo,Comedy- Sci-Fi,TreyParker,.,TreyParker,DianBachar,RobynLynneRaab,MichaelDeanJacobs,582024,6.1,33056,1997
Private Parts,Biography- Comedy- Drama,BettyThomas,.,HowardStern,MaryMcCormack,RobinQuivers,FredNorris,41198146,6.9,32457,1997
Spice World,Comedy- Family- Music,BobSpiers,.,MelB,EmmaBunton,MelanieC,GeriHorner,29342592,3.5,31826,1997
Fools Rush In,Comedy- Drama- Romance,AndyTennant,.,MatthewPerry,SalmaHayek,JonTenney,CarlosGómez,29291566,6,30750,1997
The Sweet Hereafter,Drama,AtomEgoyan,.,IanHolm,SarahPolley,CaerthanBanks,TomMcCamus,3252652,7.5,30259,1997
Neon Genesis Evangelion: The End of Evangelion,Animation- Action- Drama,HideakiAnno,KazuyaTsurumaki,MegumiOgata,MegumiHayashibara,YûkoMiyamura,KotonoMitsuishi,.,8.2,30240,1997
Gummo,Comedy- Drama,HarmonyKorine,.,NickSutton,JacobSewell,LaraTosh,JacobReynolds,19820,6.7,29576,1997
Double Team,Action- Comedy- Sci-Fi,HarkTsui,.,Jean-ClaudeVanDamme,DennisRodman,MickeyRourke,PaulFreeman,11438337,4.8,29485,1997
The Man Who Knew Too Little,Comedy- Crime- Drama,JonAmiel,.,BillMurray,JoanneWhalley,PeterGallagher,RichardWilson,13801755,6.7,28205,1997
Murder at 1600,Action- Crime- Drama,DwightH.Little,.,WesleySnipes,DianeLane,DanielBenzali,DennisMiller,25826788,6.1,26896,1997
Live Flesh,Drama,PedroAlmodóvar,.,LibertoRabal,FrancescaNeri,JavierBardem,ÁngelaMolina,1535558,7.4,26277,1997
Money Talks,Action- Comedy- Crime,BrettRatner,.,CharlieSheen,ChrisTucker,HeatherLocklear,EliseNeal,41067398,6.2,26215,1997
Knockin' on Heaven's Door,Action- Crime- Comedy,ThomasJahn,.,TilSchweiger,JanJosefLiefers,ThierryvanWerveke,MoritzBleibtreu,3296,8,25298,1997
Fireworks,Crime- Drama- Romance,TakeshiKitano,.,TakeshiKitano,KayokoKishimoto,RenOsugi,SusumuTerajima,233986,7.8,25168,1997
Suicide Kings,Comedy- Crime- Drama,PeterO'Fallon,.,ChristopherWalken,DenisLeary,SeanPatrickFlanery,MarkWatson,1692872,7,24671,1997
Kundun,Biography- Drama- History,MartinScorsese,.,TenzinThuthobTsarong,GyurmeTethong,TulkuJamyangKungaTenzin,TenzinYeshiPaichang,5532301,7,24401,1997
Metro,Action- Comedy- Crime,ThomasCarter,.,EddieMurphy,MichaelRapaport,KimMiyori,ArtEvans,31987563,5.5,24156,1997
Good Burger,Comedy- Family,BrianRobbins,.,KelMitchell,KenanThompson,Sinbad,AbeVigoda,23687907,5.7,24070,1997
Mr. Nice Guy,Action- Comedy- Crime,SammoKam-BoHung,.,JackieChan,RichardNorton,MikiLee,KarenMcLymont,12674183,6.2,23588,1997
The Relic,Horror- Mystery- Sci-Fi,PeterHyams,.,PenelopeAnnMiller,TomSizemore,LindaHunt,JamesWhitmore,33956608,5.8,22792,1997
Selena,Biography- Drama- Music,GregoryNava,.,JenniferLopez,EdwardJamesOlmos,JonSeda,JackieGuerra,35422828,6.7,22636,1997
Addicted to Love,Comedy- Romance,GriffinDunne,.,MegRyan,MatthewBroderick,KellyPreston,TchékyKaryo,34656904,6.1,22388,1997
Fierce Creatures,Comedy,FredSchepisi,RobertYoung,JohnCleese,JamieLeeCurtis,KevinKline,MichaelPalin,9381260,6.4,21980,1997
An American Werewolf in Paris,Comedy- Fantasy- Horror,AnthonyWaller,.,TomEverettScott,JulieDelpy,VinceVieluf,PhilBuckman,26570463,5.1,21880,1997
Jungle 2 Jungle,Comedy- Family,JohnPasquin,.,TimAllen,MartinShort,JoBethWilliams,LolitaDavidovich,59925026,5.1,21390,1997
The Spanish Prisoner,Drama- Mystery- Thriller,DavidMamet,.,SteveMartin,BenGazzara,CampbellScott,RickyJay,10200000,7.2,20720,1997
One Eight Seven,Drama- Thriller,KevinReynolds,.,SamuelL.Jackson,JohnHeard,KellyRowan,CliftonCollinsJr.,5716080,6.7,20702,1997
Happy Together,Drama- Romance,Kar-WaiWong,.,LeslieCheung,TonyChiu-WaiLeung,ChenChang,GregoryDayton,187508,7.8,19660,1997
The Opposite of Sex,Comedy,DonRoos,.,ChristinaRicci,MartinDonovan,LisaKudrow,LyleLovett,5881367,6.4,19450,1997
Taste of Cherry,Drama,AbbasKiarostami,.,HomayounErshadi,AbdolrahmanBagheri,AfshinKhorshidBakhtiari,SafarAliMoradi,311873,7.7,19443,1997
Dil To Pagal Hai,Comedy- Drama- Musical,YashChopra,.,ShahRukhKhan,MadhuriDixit,KarismaKapoor,AkshayKumar,.,7,19150,1997
The Borrowers,Adventure- Comedy- Family,PeterHewitt,.,JohnGoodman,JimBroadbent,MarkWilliams,CeliaImrie,22359293,5.8,18806,1997
Mad City,Crime- Drama- Thriller,Costa-Gavras,.,JohnTravolta,DustinHoffman,AlanAlda,MiaKirshner,10556196,6.3,18303,1997
Wishmaster,Fantasy- Horror,RobertKurtzman,.,TammyLauren,AndrewDivoff,RobertEnglund,ChrisLemmon,15719109,5.8,18190,1997
Nightwatch,Drama- Horror- Thriller,OleBornedal,.,EwanMcGregor,NickNolte,AnaisEvans,ErichAnderson,1200000,6.2,18057,1997
Picture Perfect,Comedy- Drama- Romance,GlennGordonCaron,.,JenniferAniston,JayMohr,KevinBacon,OlympiaDukakis,31058643,5.5,17967,1997
The Boxer,Drama- Romance- Sport,JimSheridan,.,DanielDay-Lewis,EmilyWatson,DaraghDonnelly,FrankCoughlan,5799672,7.1,17453,1997
Dobermann,Action- Crime- Thriller,JanKounen,.,VincentCassel,TchékyKaryo,MonicaBellucci,AntoineBasler,.,6.6,15966,1997
Fire Down Below,Action- Drama- Thriller,FélixEnríquezAlcalá,.,StevenSeagal,KrisKristofferson,MargHelgenberger,StephenLang,16228448,5.1,15773,1997
Air Bud,Comedy- Drama- Family,CharlesMartinSmith,.,MichaelJeter,KevinZegers,WendyMakkena,BillCobbs,24629916,5.2,15352,1997
Red Corner,Crime- Drama- Thriller,JonAvnet,.,RichardGere,BaiLing,BradleyWhitford,ByronMann,22415440,6.3,15230,1997
Brother,Crime- Drama- Romance,AlekseyBalabanov,.,SergeyBodrov,ViktorSukhorukov,SvetlanaPismichenko,MariyaZhukova,.,8,14545,1997
Affliction,Drama- Mystery- Thriller,PaulSchrader,.,NickNolte,SissySpacek,JamesCoburn,BrigidTierney,6302154,7,13986,1997
The Castle,Comedy- Drama,RobSitch,.,MichaelCaton,AnneTenney,StephenCurry,AnthonySimcoe,861789,7.7,13925,1997
Wilde,Biography- Drama- Romance,BrianGilbert,.,StephenFry,JudeLaw,VanessaRedgrave,JenniferEhle,2157701,6.9,13892,1997
Fathers' Day,Comedy- Romance,IvanReitman,.,RobinWilliams,BillyCrystal,JuliaLouis-Dreyfus,NastassjaKinski,28659604,5.2,13882,1997
Gridlock'd,Comedy- Crime- Drama,VondieCurtis-Hall,.,TupacShakur,TimRoth,ThandieNewton,CharlesFleischer,5479037,6.9,13845,1997
Mr. Magoo,Adventure- Comedy- Family,StanleyTong,.,LeslieNielsen,KellyLynch,MattKeeslar,NickChinlund,21382456,4,13549,1997
Smilla's Sense of Snow,Crime- Drama- Mystery,BilleAugust,.,JuliaOrmond,OnaFletcher,AggaOlsen,PatrickField,2221994,6.4,12986,1997
Masumiyet,Drama,ZekiDemirkubuz,.,GüvenKiraç,HalukBilginer,DeryaAlabora,YalcinCakmak,.,8.3,12805,1997
Pardes,Drama- Musical- Romance,SubhashGhai,.,ShahRukhKhan,MahimaChaudhry,AmrishPuri,ApoorvaAgnihotri,.,7,12766,1997
The Apostle,Drama,RobertDuvall,.,RobertDuvall,ToddAllen,PaulBagget,LenoreBanks,20733485,7.2,12724,1997
Mrs Brown,Biography- Drama- History,JohnMadden,.,JudiDench,BillyConnolly,GeoffreyPalmer,AntonySher,9217930,7.2,12599,1997
In the Company of Men,Comedy- Drama,NeilLaBute,.,AaronEckhart,MattMalloy,StacyEdwards,MichaelMartin,2856622,7.2,12586,1997
Border,Action- Drama- History,J.P.Dutta,.,SunnyDeol,JackieShroff,SunilShetty,AkshayeKhanna,.,7.9,12296,1997
Excess Baggage,Action- Comedy- Crime,MarcoBrambilla,.,AliciaSilverstone,BenicioDelToro,ChristopherWalken,JackThompson,14327206,5.4,12130,1997
Insomnia,Crime- Mystery- Thriller,ErikSkjoldbjærg,.,StellanSkarsgård,SverreAnkerOusdal,MariaMathiesen,GiskenArmand,221173,7.3,12099,1997
Yes Boss,Comedy- Drama- Musical,AzizMirza,.,ShahRukhKhan,JuhiChawla,AdityaPancholi,KashmiraShah,.,6.8,11746,1997
Switchback,Crime- Mystery- Thriller,JebStuart,.,DannyGlover,DennisQuaid,ClaudiaStedelin,IanNelson,6482195,6.4,11590,1997
Chachi 420,Comedy- Drama- Family,KamalHaasan,.,KamalHaasan,AmrishPuri,OmPuri,Tabu,.,7.4,11492,1997
Robinson Crusoe,Adventure- Drama,RodHardy,GeorgeMiller,PierceBrosnan,WilliamTakaku,PollyWalker,IanHart,.,5.9,11198,1997
Inventing the Abbotts,Drama- Romance,PatO'Connor,.,LivTyler,JenniferConnelly,JoaquinPhoenix,BillyCrudup,5936344,6.4,10735,1997
Steel,Action- Adventure- Crime,KennethJohnson,.,ShaquilleO'Neal,AnnabethGish,JuddNelson,RichardRoundtree,1710972,2.8,10261,1997
Neon Genesis Evangelion: Death & Rebirth,Animation- Action- Drama,HideakiAnno,Masayuki,MegumiOgata,MegumiHayashibara,YûkoMiyamura,KotonoMitsuishi,.,7.5,10098,1997
Turbulence,Action- Thriller,RobertButler,.,RayLiotta,LaurenHolly,BrendanGleeson,HectorElizondo,11466088,4.9,10091,1997
Karakter,Crime- Drama- Mystery,MikevanDiem,.,PavlikJansenopdeHaar,JanDecleir,FedjavanHuêt,BettySchuurman,713413,7.7,9992,1997
Hoodlum,Crime- Drama,BillDuke,.,LaurenceFishburne,TimRoth,VanessaWilliams,AndyGarcia,23461013,6.3,9943,1997
The Wings of the Dove,Drama- Romance,IainSoftley,.,HelenaBonhamCarter,LinusRoache,AlexJennings,CharlotteRampling,13718385,7.1,9922,1997
Fever Pitch,Comedy- Drama- Romance,DavidEvans,.,ColinFirth,RuthGemmell,LukeAikman,BeaGuard,13600,6.7,9531,1997
For Richer or Poorer,Comedy,BryanSpicer,.,TimAllen,KirstieAlley,JayO.Sanders,MichaelLerner,31611225,5.8,9443,1997
Snow White: A Tale of Terror,Fantasy- Horror,MichaelCohn,.,SigourneyWeaver,SamNeill,GilBellows,TarynDavis,.,6.2,9354,1997
Ishq,Action- Comedy- Drama,IndraKumar,.,AamirKhan,AjayDevgn,JuhiChawla,Kajol,.,6.9,9116,1997
8 Heads in a Duffel Bag,Adventure- Comedy- Crime,TomSchulman,.,JoePesci,AndyComeau,KristySwanson,GeorgeHamilton,3559990,5.4,9085,1997
Gone Fishin',Comedy- Crime,ChristopherCain,.,JoePesci,DannyGlover,RosannaArquette,LynnWhitfield,19736932,4.8,8884,1997
Cure,Crime- Horror- Mystery,KiyoshiKurosawa,.,MasatoHagiwara,KôjiYakusho,TsuyoshiUjiki,AnnaNakagawa,94596,7.4,8875,1997
The Night Flier,Fantasy- Horror- Mystery,MarkPavia,.,MiguelFerrer,JulieEntwisle,DanMonahan,MichaelH.Moss,125397,6,8794,1997
Agir Roman,Crime- Drama- Romance,MustafaAltioklar,.,OkanBayülgen,MüjdeAr,SavasDinçel,MustafaUgurlu,.,7.7,8775,1997
The Brave,Drama,JohnnyDepp,.,JohnnyDepp,MarlonBrando,MarshallBell,ElpidiaCarrillo,.,6.3,8726,1997
The Butcher Boy,Comedy- Drama,NeilJordan,.,StephenRea,FionaShaw,EamonnOwens,AlanBoyle,1822193,7.1,8721,1997
Free Willy 3: The Rescue,Adventure- Drama- Family,SamPillsbury,.,JasonJamesRichter,AugustSchellenberg,AnnieCorley,VincentBerry,3519178,4.7,8652,1997
RocketMan,Comedy- Family- Sci-Fi,StuartGillard,.,HarlandWilliams,JessicaLundy,WilliamSadler,JeffreyDeMunn,15448043,5.9,8571,1997
How to Be a Player,Comedy,LionelC.Martin,.,BillBellamy,NatalieDesselleReid,LarkVoorhies,MariMorrow,13960203,5.3,8462,1997
The Assignment,Action- Crime- Thriller,ChristianDuguay,.,AidanQuinn,DonaldSutherland,BenKingsley,ClaudiaFerri,540063,6.9,8383,1997
Ma Vie en Rose,Drama,AlainBerliner,.,GeorgesDuFresne,MichèleLaroque,Jean-PhilippeÉcoffey,HélèneVincent,2280573,7.6,8116,1997
Nil by Mouth,Drama,GaryOldman,.,RayWinstone,KathyBurke,CharlieCreed-Miles,LailaMorse,.,7.3,8022,1997
The Beautician and the Beast,Comedy- Romance,KenKwapis,.,FranDrescher,TimothyDalton,IanMcNeice,PatrickMalahide,11486880,5.4,7943,1997
Eve's Bayou,Drama,KasiLemmons,.,SamuelL.Jackson,JurneeSmollett-Bell,MeaganGood,LynnWhitfield,14821531,7.3,7914,1997
Booty Call,Comedy- Romance,JeffPollack,.,JamieFoxx,TommyDavidson,VivicaA.Fox,TamalaJones,20060051,5.4,7757,1997
Nowhere,Comedy- Drama- Sci-Fi,GreggAraki,.,JamesDuval,RachelTrue,NathanBexton,ChiaraMastroianni,27354,6.5,7751,1997
Turbo: A Power Rangers Movie,Action- Adventure- Family,ShukiLevy,DavidWinning,JasonDavidFrank,CatherineSutherland,HilaryShepard,JonSimanton,8363899,3.6,7741,1997
She's So Lovely,Drama- Romance,NickCassavetes,.,SeanPenn,RobinWright,JohnTravolta,JamesGandolfini,7221836,5.9,7709,1997
Koyla,Action- Drama- Musical,RakeshRoshan,.,ShahRukhKhan,MadhuriDixit,AmrishPuri,Ranjeet,.,6.2,7601,1997
The Pest,Comedy,PaulMiller,.,JohnLeguizamo,JeffreyJones,FreddyRodríguez,PatSkipper,3600616,5,7511,1997
Perdita Durango,Action- Crime- Horror,ÁlexdelaIglesia,.,RosiePerez,JavierBardem,HarleyCross,AimeeGraham,.,6.3,7446,1997
Out to Sea,Comedy- Romance,MarthaCoolidge,.,JackLemmon,WalterMatthau,DyanCannon,GloriaDeHaven,27974168,6.1,7403,1997
Gang Related,Action- Crime- Drama,JimKouf,.,JimBelushi,TupacShakur,LelaRochon,DennisQuaid,5790448,6.5,7399,1997
Kull the Conqueror,Fantasy- Action- Adventure,JohnNicolella,.,KevinSorbo,TiaCarrere,ThomasIanGriffith,Litefoot,6086891,4.9,7369,1997
The House of Yes,Comedy- Drama,MarkWaters,.,ParkerPosey,JoshHamilton,ToriSpelling,FreddiePrinzeJr.,617403,6.6,7316,1997
Bent,Drama- History- Romance,SeanMathias,.,LothaireBluteau,CliveOwen,MickJagger,BrianWebber,372341,7.2,7284,1997
Shooting Fish,Comedy- Crime- Romance,StefanSchwartz,.,DanFutterman,StuartTownsend,KateBeckinsale,RowenaCooper,302204,6.6,7144,1997
Lawn Dogs,Drama,JohnDuigan,.,SamRockwell,KathleenQuinlan,MischaBarton,ChristopherMcDonald,106292,7.5,7141,1997
Gadjo dilo,Comedy- Drama- Music,TonyGatlif,.,RomainDuris,RonaHartner,IzidorSerban,OvidiuBalan,673153,7.7,7052,1997
Tre uomini e una gamba,Comedy,AldoBaglio,GiacomoPoretti,AldoBaglio,GiovanniStorti,GiacomoPoretti,MarinaMassironi,.,7.6,7029,1997
Playing God,Crime- Thriller- Drama,AndyWilson,.,DavidDuchovny,TimothyHutton,AngelinaJolie,MichaelMassee,4052347,5.6,6990,1997
Rosewood,Action- Drama- History,JohnSingleton,.,JonVoight,VingRhames,DonCheadle,BruceMcGill,13104494,7.2,6984,1997
Two Girls and a Guy,Comedy- Drama,JamesToback,.,RobertDowneyJr.,HeatherGraham,NatashaGregsonWagner,AngelDavid,1950218,5.5,6593,1997
Henry Fool,Comedy- Drama,HalHartley,.,ThomasJayRyan,JamesUrbaniak,ParkerPosey,MariaPorter,1338335,7.3,6583,1997
Welcome to Sarajevo,Drama- War,MichaelWinterbottom,.,StephenDillane,WoodyHarrelson,MarisaTomei,EmiraNusevic,339648,6.8,6580,1997
Cats Don't Dance,Animation- Comedy- Family,MarkDindal,.,ScottBakula,JasmineGuy,NatalieCole,AshleyPeldon,3562749,6.9,6576,1997
Prefontaine,Biography- Drama- Romance,SteveJames,.,JaredLeto,R.LeeErmey,EdO'Neill,BreckinMeyer,532190,6.8,6569,1997
Ulee's Gold,Drama,VictorNunez,.,PeterFonda,PatriciaRichardson,ChristineDunford,TomWood,9054736,7,6416,1997
Wild America,Action- Adventure- Comedy,WilliamDear,.,JonathanTaylorThomas,DevonSawa,ScottBairstow,FrancesFisher,7324662,6.3,6403,1997
Soul Food,Comedy- Drama,GeorgeTillmanJr.,.,VanessaWilliams,VivicaA.Fox,NiaLong,MichaelBeach,43490057,7,6392,1997
One Night Stand,Drama- Romance,MikeFiggis,.,WesleySnipes,NastassjaKinski,KyleMacLachlan,Ming-NaWen,2618335,5.8,6250,1997
Oscar and Lucinda,Drama- Romance,GillianArmstrong,.,RalphFiennes,CateBlanchett,CiaránHinds,TomWilkinson,1508689,6.6,6228,1997
McHale's Navy,Action- Comedy,BryanSpicer,.,TomArnold,DeanStockwell,ErnestBorgnine,DebraMessing,4529843,4.6,6094,1997
Nirvana,Action- Drama- Sci-Fi,GabrieleSalvatores,.,ChristopherLambert,DiegoAbatantuono,SergioRubini,StefaniaRocca,.,6.1,5929,1997
Steam: The Turkish Bath,Drama- Romance,FerzanOzpetek,.,AlessandroGassmann,Francescad'Aloja,CarloCecchi,HalilErgün,655078,6.8,5825,1997
Trial and Error,Comedy- Romance,JonathanLynn,.,MichaelRichards,JeffDaniels,CharlizeTheron,JessicaSteen,13548764,5.8,5742,1997
Deceiver,Crime- Drama- Mystery,JonasPate,JoshPate,TimRoth,ChrisPenn,MichaelRooker,RenéeZellweger,572433,6.7,5708,1997
