title,genre,director1,director2,actor1,actor2,actor3,actor4,box_office,imdb_rating,imdb_votes,yr
The House on Chelouche Street,Drama,MoshéMizrahi,.,GilaAlmagor,ShaikeOphir,JosephShiloach,MichalBat-Adam,.,6.7,188,1973
Ten from Your Show of Shows,Comedy,MaxLiebman,.,SidCaesar,ImogeneCoca,CarlReiner,HowardMorris,.,7.6,188,1973
Expulsion of the Devil,Drama- Horror,JuanLuisBuñuel,.,FrançoiseFabian,Jean-MarcBory,Jean-PierreDarras,ClaudeDauphin,.,6,188,1973
Girls Are for Loving,Crime- Drama,DonSchain,.,CheriCaffaro,TimothyBrown,SheilaLeighton,ScottEllsworth,.,5.6,186,1973
Blade,Mystery- Thriller,ErnestPintoff,.,JohnMarley,JonCypher,KathrynWalker,WilliamPrince,.,5.4,186,1973
Women in Cell Block 7,Crime- Drama,RinoDiSilvestro,.,AnitaStrindberg,EvaCzemerys,JennyTamburi,CristinaGaioni,.,4.7,186,1973
Secrets of Sweet Sixteen,Comedy,ErnstHofbauer,.,WernerAbrolat,EkkehardtBelle,MarinaBlümel,ArthurBrauss,.,4.1,183,1973
Moi y'en a vouloir des sous,Comedy,JeanYanne,.,JeanYanne,BernardBlier,NicoleCalfan,MichelSerrault,.,6.2,183,1973
Libero,Sport,WigbertWicker,.,FranzBeckenbauer,HaraldLeipnitz,KlausLöwitsch,BeatriceKessler,.,2.1,183,1973
The Bloody Slaying of Sarah Ridelander,Thriller- Horror,JohnLawrence,.,TomDrake,SteveOliver,JoeTurkel,SeanKenney,.,3.3,183,1973
Campus Pussycats,Comedy- Drama- Romance,ErnstHofbauer,.,PuppaArmbruster,GerdArnau,IniAssmann,ReinerBrönneke,.,4.6,182,1973
Les dernières fiançailles,Drama,JeanPierreLefebvre,.,MartheNadeau,J.LéoGagnon,MarcelSabourin,.,.,7.6,180,1973
Nora inu,Crime- Drama,AzumaMorisaki,.,TetsuyaWatari,ShinsukeAshida,KeikoMatsuzaka,TarôShigaki,.,7,179,1973
Hubal,Drama- War,BohdanPoreba,.,RyszardFilipski,MalgorzataPotocka,TadeuszJanczar,EmilKarewicz,.,7,179,1973
Blood,Horror,AndyMilligan,.,AllanBerendt,HopeStansbury,PatriciaGaul,MichaelFischetti,.,4.9,179,1973
Superman,Action- Adventure- Sci-Fi,AndyMilligan,.,GeorgeReeves,NoelNeill,JackLarson,JohnHamilton,.,6.3,179,1973
Fotográfia,Drama,PálZolnay,.,IstvánIglódi,FerencSebö,MárkZala,.,.,7.6,178,1973
L'ultima neve di primavera,Drama,RaimondoDelBalzo,.,BekimFehmiu,AgostinaBelli,RenatoCestiè,NinoSegurini,.,6.6,176,1973
Bir Demet Menekse,Drama- Romance,ZekiÖkten,.,KartalTibet,HaleSoygazi,LaleBelkis,GültenCeylan,.,6.4,174,1973
Battle of the Amazons,Action- Fantasy,AlfonsoBrescia,.,LincolnTate,LucretiaLove,PaolaTedesco,MirtaMiller,.,4.7,174,1973
Yarasa adam - Bedmen,Action- Adventure,GünayKosova,.,LeventÇakir,EmelÖzden,HüseyinSayan,CeyhanCem,.,3.7,173,1973
Enas trellos trellos aeropeiratis,Comedy,KostasKaragiannis,.,KostasVoutsas,KettyPapanika,GiannisVogiatzis,StavrosXenidis,.,4.5,173,1973
Tangna,Crime- Drama- Romance,AmirNaderi,.,SaeedRad,NuriKasrai,EnayatBakhshi,MohammadEskandari,.,7,173,1973
